R,G,B
166.004532656395,43.74652598565338,60.64986739951991
167.43955686982505,44.439806050527224,60.63459936134019
167.05917993591305,44.322449562200006,60.212769141635974
167.050973544679,45.21218945539923,60.53317549314514
167.15420209735643,45.19252143043142,60.97873508229186
167.1716856277186,44.37163589270051,60.34508835895205
167.23771957256955,44.938859839033164,60.6383039679299
166.68624510910692,44.03810652050916,60.82330151406606
167.4463307836128,44.183787652339774,60.62438389251798
166.76065118292237,43.827819565614035,61.247510119648545
166.96102720261499,44.29689129043782,60.5403558542156
167.11067152503514,43.93065844106431,60.99188262663143
166.7903803904954,43.966915404213175,60.95436161605004
167.1515935864642,44.142488297160256,60.853288859519175
166.44753714234184,43.60414216742132,60.55407779466104
166.2886927211464,44.066518499148884,60.79625848084046
166.77251856944258,43.856010222759956,60.3736789520961
166.91427159021833,43.826609856686794,60.761966772676274
167.09047607422164,43.18049977700489,60.684030496181634
165.9780634130257,42.77260186849846,60.707945114313674
166.29679136986016,42.313667331467194,60.41247505650133
166.44710609651713,42.508941375009975,60.40182021677151
166.205391478524,41.38173303167448,60.45873820093086
165.99817755419318,42.148272952883914,60.5269378655526
166.47669855651756,42.08364678222052,60.53107233895804
165.53291363649285,42.4986316273063,60.50752953180587
166.33685453065112,42.84783253761449,60.48619747606415
166.72585127646147,43.271678097859265,60.639818083279934
166.07316230686124,44.773254959472695,60.59831647604345
166.97477462682025,44.720131260840496,60.94566889943528
167.1481803616765,44.42857412614266,60.68696685885831
167.6562619357068,44.760495903771584,60.772907198771556
167.5858526530907,45.47089999101367,60.94903141695017
167.91759599545884,44.43301160920962,60.83382764630446
167.72245383408253,44.87267480482142,60.65995762708118
167.44703988448435,43.83645312240443,60.60827267947281
166.57030992433144,43.44175370212648,60.646516987633404
167.80133456357268,43.85965205066927,61.14448008525689
166.2281123581067,44.71978030096133,60.86306570651912
167.00517800744035,44.133290656406864,60.910831401782204
166.99098356867384,43.81342802723821,60.950829520855734
167.12406334056362,44.07693891045247,60.59522885996179
166.88093018259622,43.83875200947726,60.407165738282366
166.60084287214585,43.75819250383176,60.762619176498596
166.53944132238317,43.840624208809544,60.47208643559366
166.49286583620426,43.188956233203655,60.82517644944713
166.95899595866175,43.46539323804679,60.76956261809029
166.14746824846677,42.46771066477263,60.218015347294816
166.53558567002614,42.533731486161294,60.73149379478607
166.14700504184864,42.71355253551354,60.48846727722604
166.56508989740666,42.1690588410607,60.559616273519495
165.60822383225613,41.65920546635803,59.80133300843487
165.62675408139967,41.939119269121804,60.09921752315477
166.14370366752556,41.94717590910386,60.5410725647235
166.28304108702397,42.416920947125604,60.17613038479005
165.74786765309952,42.1722913629776,60.61025152143999
166.8406474661804,43.485826110852784,60.748303690963525
166.84844434670015,44.1193461904393,61.11492482003266
167.53180589535486,43.94038650659866,60.947017618062105
167.10078052549176,44.361776410527625,60.762152732007635
166.77814906510488,44.022065729710114,60.71750414602909
166.85870005887057,44.381555538931394,61.12939478522462
166.8550677402673,44.46206611421532,61.12047188997849
166.9906246792832,44.653045837253224,60.85641227862379
167.640323803146,44.669488616538715,60.758154613123665
167.41578717162,43.930268002063656,60.67278625378028
167.27195441153648,43.3413672356417,60.82918920041798
166.9015930869948,43.956801315431434,60.82290283017753
167.08539531640898,44.55524790443897,61.08671139883464
167.06696126907178,44.11340562028303,61.041282418426164
166.95165349683506,43.704991875063435,60.4472348837837
166.7948050232938,44.11814595200926,60.632694436347585
166.6684676655295,43.647806534823815,60.94629240196328
166.81446405116486,43.248078193955685,60.85532572035657
166.83826072765268,43.808963240966285,60.855122422980564
166.98080516712267,43.41786565241568,60.68605925483842
167.04990718534953,43.488442801502046,60.531447970082354
166.3052458799652,42.84318703727546,60.65790482946602
165.79170155732018,42.52219071045382,59.98692850646967
166.39222648458835,42.601011400191126,60.37458577921313
166.41186618962388,42.35124286710977,60.27731733951768
